C:\Users\kohlm\Desktop\arbeit\qPCR\130320 Standards BSP RIDA BSP.mxp
Segment	Ramp/Plateau	Ramp/Plateau #	Well	Dye	Cycle #	Fluorescence	Temperature
 2	P	 2	15	ICD	 16	    11110	59.7
 2	P	 2	15	ICD	 17	    11029	59.7
 2	P	 2	15	ICD	 18	    11008	59.7
 2	P	 2	15	ICD	 19	    11027	59.7
 2	P	 2	15	ICD	 20	    11025	59.7
 2	P	 2	15	ICD	 21	    11108	59.7
 2	P	 2	15	ICD	 22	    11144	59.7
 2	P	 2	15	ICD	 23	    11290	59.7
 2	P	 2	15	ICD	 24	    11628	59.7
 2	P	 2	15	ICD	 25	    12191	59.7
 2	P	 2	15	ICD	 26	    13332	59.7
 2	P	 2	15	ICD	 27	    15018	59.7
 2	P	 2	15	ICD	 28	    17374	59.7
 2	P	 2	15	ICD	 29	    20574	59.7
 2	P	 2	15	ICD	 30	    23942	59.7
 2	P	 2	15	ICD	 31	    26681	59.7
 2	P	 2	15	ICD	 32	    28407	59.7
 2	P	 2	15	ICD	 33	    29384	59.7
 2	P	 2	15	ICD	 34	    30083	59.7
 2	P	 2	15	ICD	 35	    30337	59.7
 2	P	 2	15	ICD	 36	    30823	59.7
 2	P	 2	15	ICD	 37	    30804	59.7
 2	P	 2	15	ICD	 38	    30562	59.7
 2	P	 2	15	ICD	 39	    30816	59.7
 2	P	 2	15	ICD	 40	    30690	59.7
 2	P	 2	15	ICD	 41	    30670	59.7
 2	P	 2	15	ICD	 42	    30810	59.7
 2	P	 2	15	ICD	 43	    30607	59.7
 2	P	 2	15	ICD	 44	    30750	59.7
 2	P	 2	15	ICD	 45	    30795	59.7
 2	P	 2	15	Salmo	  1	    10811	59.5
 2	P	 2	15	Salmo	  2	    10647	59.6
 2	P	 2	15	Salmo	  3	    10650	59.6
 2	P	 2	15	Salmo	  4	    10601	59.6
 2	P	 2	15	Salmo	  5	    10705	59.7
 2	P	 2	15	Salmo	  6	    10802	59.7
 2	P	 2	15	Salmo	  7	    10746	59.6
 2	P	 2	15	Salmo	  8	    10800	59.7
 2	P	 2	15	Salmo	  9	    10877	59.6
 2	P	 2	15	Salmo	 10	    10855	59.7
 2	P	 2	15	Salmo	 11	    10914	59.7
 2	P	 2	15	Salmo	 12	    10852	59.7
 2	P	 2	15	Salmo	 13	    10893	59.7
 2	P	 2	15	Salmo	 14	    10999	59.7
 2	P	 2	15	Salmo	 15	    11067	59.7
 2	P	 2	15	Salmo	 16	    11028	59.7
